Company_name,Company_rating,Reviews,Salary,Jobs_Provided,Company_Size,Industry
Tata Consultancy Services,3.9,1.3L,1.3L,1.5T,10000+ Employees,Software Development
Accenture,4.1,1.5L,78.7T,27.5T,10000+ Employees,Business Consulting
Amazon,4.1,1.8L,43.3T,15.1T,10000+ Employees,Internet & Web Services
Cognizant Technology Solutions,3.8,86.2T,71.7T,2.1T,10000+ Employees,Information Technology Support Services
Deloitte,4.1,1L,34.1T,35.2T,10000+ Employees,Accounting & Tax
Capgemini,4,71T,47T,8.7T,10000+ Employees,Enterprise Software & Network Solutions
IBM,4.2,1.1L,33.4T,4T,10000+ Employees,Information Technology Support Services
EY,3.9,72.9T,19.3T,11.5T,10000+ Employees,Accounting & Tax
HCLTech,3.7,41.1T,33.7T,515,10000+ Employees,Computer Hardware Development
Oracle,4,49.7T,19.5T,4.3T,10000+ Employees,Enterprise Software & Network Solutions
PwC,3.9,74.1T,11.6T,22.6T,1001 to 5000 Employees,Accounting & Tax
Tech Mahindra,3.6,32.3T,25.5T,419,10000+ Employees,Information Technology Support Services
Microsoft,4.3,49.7T,9.9T,1.6T,10000+ Employees,Computer Hardware Development
Teleperformance,4.5,49.9T,8.6T,1.2T,10000+ Employees,Telecommunications Services
KPMG,3.8,56.5T,10.8T,12.7T,10000+ Employees,Business Consulting
Google,4.4,45.8T,8.5T,1.9T,10000+ Employees,Internet & Web Services
Dell Technologies,4.3,33.3T,10T,154,10000+ Employees,Information Technology Support Services
Cisco Systems,4.4,31.7T,8T,444,10000+ Employees,Enterprise Software & Network Solutions
Wells Fargo,3.7,46.4T,5.2T,2.9T,10000+ Employees,Banking & Lending
Genpact,4,20.6T,15.7T,2.8T,10000+ Employees,Information Technology Support Services
DXC Technology,3.6,24T,10.3T,1.6T,10000+ Employees,Information Technology Support Services
Concentrix,4.3,30.5T,9.1T,1.4T,10000+ Employees,Information Technology Support Services
LTI,3.8,12.3T,11.6T,804,10000+ Employees,Information Technology Support Services
Citi,3.9,31.9T,4.7T,6.6T,10000+ Employees,Investment & Asset Management
Intel Corporation,4.1,29.3T,4.2T,1.3T,10000+ Employees,Computer Hardware Development
J.P. Morgan,4.1,23.5T,7.4T,21,10000+ Employees,Investment & Asset Management
SAP,4.4,28.4T,5.1T,2T,10000+ Employees,Enterprise Software & Network Solutions
ABC,3.9,15T,10.9T,40,10000+ Employees,Broadcast Media
HSBC,3.8,27.6T,5.2T,3.1T,10000+ Employees,Banking & Lending
Qualcomm,4.1,9.8T,3.8T,42,10000+ Employees,Computer Hardware Development
Bank of America,4,38.5T,2.8T,1.1T,10000+ Employees,Banking & Lending
Goldman Sachs,3.9,17.1T,5.1T,1.2T,10000+ Employees,Investment & Asset Management
Target,4.3,77.5T,1.6T,11.6T,1001 to 5000 Employees,General Merchandise & Superstores
Honeywell,4,20.4T,5.6T,2.8T,10000+ Employees,Computer Hardware Development
Mindtree,4,11.1T,9.9T,0,10000+ Employees,Information Technology Support Services
JPMorgan Chase & Co,4,23.5T,3.6T,5.6T,10000+ Employees,Banking & Lending
CGI,3.9,16.3T,4.9T,2.4T,10000+ Employees,Business Consulting
Barclays,4,18T,5.1T,512,10000+ Employees,Banking & Lending
Siemens,4.1,20.4T,4.5T,11.3T,10000+ Employees,Electronics Manufacturing
ICICI Bank,3.7,11.7T,12.3T,11,10000+ Employees,Banking & Lending
Mphasis,3.6,8.8T,7.4T,18,10000+ Employees,Information Technology Support Services
Verizon,3.8,32.7T,2.5T,1.8T,10000+ Employees,Telecommunications Services
Ericsson-Worldwide,4.2,18T,5T,675,10000+ Employees,Telecommunications Services
ADP,4,18.7T,3.3T,2.1T,10000+ Employees,Enterprise Software & Network Solutions
NTT DATA,3.9,14.1T,5.9T,8.8T,10000+ Employees,Information Technology Support Services
Nokia,4.2,17.8T,4.9T,828,10000+ Employees,Telecommunications Services
Hewlett Packard Enterprise | HPE,4.2,16.9T,3.9T,850,10000+ Employees,Information Technology Support Services
Morgan Stanley,3.9,17.7T,3.4T,786,10000+ Employees,Investment & Asset Management
Freelancer,4.2,14.9T,6.2T,44,501 to 1000 Employees,HR Consulting
Salesforce,4.3,17.3T,2.5T,966,10000+ Employees,Enterprise Software & Network Solutions
Capgemini Engineering,3.7,12.1T,5.8T,1.9T,10000+ Employees,Information Technology Support Services
American Express,4.2,16T,4.4T,203,10000+ Employees,Financial Transaction Processing
Amdocs,4,10.7T,6.8T,59,10000+ Employees,Enterprise Software & Network Solutions
Publicis Sapient,3.8,9.3T,7.1T,582,10000+ Employees,Business Consulting
Robert Bosch,4.3,15.3T,4.4T,262,10000+ Employees,Computer Hardware Development
ZS Associates,3.8,7T,7.9T,134,10000+ Employees,Business Consulting
McDonald's,3.5,1.2L,652,93.5T,10000+ Employees,Restaurants & Cafes
IQVIA,4,12.9T,4T,2.1T,10000+ Employees,Biotech & Pharmaceuticals
Cognizant,3.8,8.4T,8.1T,21,1 to 50 Employees,N/A
Thomson Reuters,4.4,15.1T,2.8T,709,10000+ Employees,Enterprise Software & Network Solutions
FIS,3.7,11.2T,5.2T,1.2T,10000+ Employees,Financial Transaction Processing
Vodafone,4,16.3T,3T,3.8T,10000+ Employees,Telecommunications Services
UST,3.9,7.5T,4.9T,1.4T,10000+ Employees,Information Technology Support Services
Apple,4.3,38.9T,1.1T,4.2T,10000+ Employees,Computer Hardware Development
Cerner,3.6,10T,3.6T,109,10000+ Employees,Computer Hardware Development
Fidelity Investments,4.3,14.9T,2.5T,1.2T,10000+ Employees,Investment & Asset Management
Virtusa,3.8,8.3T,6.2T,775,10000+ Employees,Information Technology Support Services
GE,4,18.3T,2.3T,1.2T,10000+ Employees,Machinery Manufacturing
HDFC Bank,3.5,7.9T,9.1T,8.6T,10000+ Employees,Banking & Lending
Larsen & Toubro,3.8,7.2T,6.7T,6,10000+ Employees,Construction
Atos-Syntel,3.6,7.6T,5.7T,48,10000+ Employees,Information Technology Support Services
